===== HOURLY SIMULATION RESULTS =====

  load  solar_available  solar_used  battery_charge  battery_discharge  curtailed_solar      grid  soc
19.241         0.034806    0.034806               0               0.00                0 19.206194 20.0
14.986         0.007754    0.007754               0               0.00                0 14.978246 20.0
10.438         0.000000    0.000000               0               0.00                0 10.438000 20.0
 8.692         0.000000    0.000000               0               0.00                0  8.692000 20.0
10.762         0.000000    0.000000               0               0.00                0 10.762000 20.0
 8.036         0.000000    0.000000               0               0.00                0  8.036000 20.0
 5.729         0.000000    0.000000               0               0.00                0  5.729000 20.0
 9.870         0.000000    0.000000               0               0.00                0  9.870000 20.0
10.208         0.000000    0.000000               0               0.00                0 10.208000 20.0
12.945         0.000000    0.000000               0               0.00                0 12.945000 20.0
15.322         0.000000    0.000000               0               0.00                0 15.322000 20.0
16.362         0.000000    0.000000               0               0.00                0 16.362000 20.0
13.926         0.000000    0.000000               0               0.00                0 13.926000 20.0
 9.282         0.000000    0.000000               0               0.00                0  9.282000 20.0
 9.331         0.000000    0.000000               0               0.00                0  9.331000 20.0
 8.684         0.001166    0.001166               0               0.00                0  8.682834 20.0
 7.341         0.019691    0.019691               0               0.00                0  7.321309 20.0
 7.469         0.050142    0.050142               0               0.00                0  7.418858 20.0
 8.378         0.080028    0.080028               0               0.00                0  8.297972 20.0
 8.149         0.101995    0.101995               0               0.00                0  8.047005 20.0
 8.025         0.095550    0.095550               0               0.00                0  7.929450 20.0
12.420         0.119483    0.119483               0               0.00                0 12.300517 20.0
16.589         0.113625    0.113625               0               0.00                0 16.475375 20.0
17.570         0.079834    0.079834               0               0.00                0 17.490166 20.0
18.308         0.043122    0.043122               0               0.00                0 18.264878 20.0
15.903         0.010066    0.010066               0               0.00                0 15.892934 20.0
10.534         0.000000    0.000000               0               0.00                0 10.534000 20.0
12.963         0.000000    0.000000               0               0.00                0 12.963000 20.0
11.498         0.000000    0.000000               0               0.00                0 11.498000 20.0
11.340         0.000000    0.000000               0               0.00                0 11.340000 20.0
 7.394         0.000000    0.000000               0               0.00                0  7.394000 20.0
 8.153         0.000000    0.000000               0               0.00                0  8.153000 20.0
11.721         0.000000    0.000000               0               0.00                0 11.721000 20.0
13.914         0.000000    0.000000               0               0.00                0 13.914000 20.0
16.329         0.000000    0.000000               0               0.00                0 16.329000 20.0
15.123         0.000000    0.000000               0               0.00                0 15.123000 20.0
12.781         0.000000    0.000000               0               0.00                0 12.781000 20.0
10.528         0.000000    0.000000               0               0.00                0 10.528000 20.0
 8.359         0.000000    0.000000               0               0.00                0  8.359000 20.0
 7.511         0.001045    0.001045               0               0.00                0  7.509955 20.0
 6.950         0.014507    0.014507               0               0.00                0  6.935493 20.0
 6.592         0.040284    0.040284               0               0.00                0  6.551716 20.0
 6.622         0.063772    0.063772               0               0.00                0  6.558228 20.0
 8.167         0.087437    0.087437               0               0.00                0  8.079563 20.0
 6.561         0.079812    0.079812               0               0.00                0  6.481188 20.0
10.693         0.070986    0.070986               0               0.00                0 10.622014 20.0
14.792         0.098215    0.098215               0               0.00                0 14.693785 20.0
17.516         0.073181    0.073181               0               0.00                0 17.442819 20.0
19.547         0.038461    0.038461               0               0.00                0 19.508539 20.0
15.061         0.007690    0.007690               0               0.00                0 15.053310 20.0
11.556         0.000000    0.000000               0               0.00                0 11.556000 20.0
11.307         0.000000    0.000000               0               0.00                0 11.307000 20.0
10.996         0.000000    0.000000               0               0.00                0 10.996000 20.0
 6.240         0.000000    0.000000               0               0.00                0  6.240000 20.0
10.176         0.000000    0.000000               0               0.00                0 10.176000 20.0
10.987         0.000000    0.000000               0               0.00                0 10.987000 20.0
11.173         0.000000    0.000000               0               0.00                0 11.173000 20.0
15.421         0.000000    0.000000               0               0.00                0 15.421000 20.0
14.550         0.000000    0.000000               0               0.00                0 14.550000 20.0
14.680         0.000000    0.000000               0               0.00                0 14.680000 20.0
11.096         0.000000    0.000000               0               0.00                0 11.096000 20.0
10.660         0.000000    0.000000               0               0.00                0 10.660000 20.0
 9.200         0.000000    0.000000               0               0.00                0  9.200000 20.0
 7.614         0.000791    0.000791               0               0.00                0  7.613209 20.0
 7.679         0.010994    0.010994               0               0.00                0  7.668006 20.0
 7.611         0.025337    0.025337               0               0.00                0  7.585663 20.0
 7.344         0.038094    0.038094               0               0.00                0  7.305906 20.0
 7.513         0.048233    0.048233               0               0.00                0  7.464767 20.0
 7.833         0.033601    0.033601               0               0.00                0  7.799399 20.0
10.576         0.045619    0.045619               0               0.00                0 10.530381 20.0
15.367         0.044077    0.044077               0               0.00                0 15.322923 20.0
14.312         0.033523    0.033523               0               0.00                0 14.278477 20.0
14.068         0.020269    0.020269               0               0.00                0 14.047731 20.0
16.167         0.004061    0.004061               0               0.00                0 16.162939 20.0
15.666         0.000000    0.000000               0               0.00                0 15.666000 20.0
14.183         0.000000    0.000000               0               0.00                0 14.183000 20.0
17.437         0.000000    0.000000               0               0.00                0 17.437000 20.0
16.648         0.000000    0.000000               0               0.00                0 16.648000 20.0
10.241         0.000000    0.000000               0               0.00                0 10.241000 20.0
12.310         0.000000    0.000000               0               0.00                0 12.310000 20.0
14.044         0.000000    0.000000               0               0.00                0 14.044000 20.0
13.572         0.000000    0.000000               0               0.00                0 13.572000 20.0
17.134         0.000000    0.000000               0               0.00                0 17.134000 20.0
14.372         0.000000    0.000000               0               0.00                0 14.372000 20.0
11.393         0.000000    0.000000               0               0.00                0 11.393000 20.0
10.821         0.000000    0.000000               0               0.00                0 10.821000 20.0
 8.161         0.000000    0.000000               0               0.00                0  8.161000 20.0
 7.881         0.000791    0.000791               0               0.00                0  7.880209 20.0
 7.797         0.013228    0.013228               0               0.00                0  7.783772 20.0
 7.848         0.029795    0.029795               0               0.00                0  7.818205 20.0
 6.245         0.051646    0.051646               0               0.00                0  6.193354 20.0
 4.064         0.072822    0.072822               0               0.00                0  3.991178 20.0
 7.038         0.055953    0.055953               0               0.00                0  6.982047 20.0
 8.102         0.078170    0.078170               0               0.00                0  8.023830 20.0
15.810         0.070554    0.070554               0               0.00                0 15.739446 20.0
14.664         0.054078    0.054078               0               0.00                0 14.609922 20.0
16.728         0.029160    0.029160               0               0.00                0 16.698840 20.0
16.341         0.006428    0.006428               0               0.00                0 16.334572 20.0
13.267         0.000000    0.000000               0               0.00                0 13.267000 20.0
 9.775         0.000000    0.000000               0               0.00                0  9.775000 20.0
 8.181         0.000000    0.000000               0               0.00                0  8.181000 20.0
 7.345         0.000000    0.000000               0               0.00                0  7.345000 20.0
 8.714         0.000000    0.000000               0               0.00                0  8.714000 20.0
 8.551         0.000000    0.000000               0               0.00                0  8.551000 20.0
14.254         0.000000    0.000000               0               0.00                0 14.254000 20.0
13.991         0.000000    0.000000               0               0.00                0 13.991000 20.0
17.806         0.000000    0.000000               0               0.00                0 17.806000 20.0
13.994         0.000000    0.000000               0               0.00                0 13.994000 20.0
12.351         0.000000    0.000000               0               0.00                0 12.351000 20.0
 8.780         0.000000    0.000000               0               0.00                0  8.780000 20.0
 7.386         0.000000    0.000000               0               0.00                0  7.386000 20.0
 6.497         0.000778    0.000778               0               0.00                0  6.496222 20.0
 5.953         0.012908    0.012908               0               0.00                0  5.940092 20.0
